Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-08-27,46.03,44.39,42.92,42.04,47.67,49.14,50.02
2014-08-28,46.11,44.48,43.0,42.12,47.75,49.23,50.11
2014-08-29,46.22,44.59,43.11,42.23,47.86,49.33,50.22
2014-08-30,46.3,44.67,43.19,42.31,47.94,49.42,50.3
2014-08-31,46.31,44.68,43.2,42.32,47.95,49.43,50.31
2014-09-01,46.31,44.67,43.2,42.31,47.94,49.42,50.3
2014-09-02,46.12,44.48,43.0,42.12,47.75,49.23,50.11
2014-09-03,46.05,44.41,42.94,42.06,47.69,49.16,50.04
2014-09-04,46.01,44.37,42.9,42.02,47.65,49.12,50.0
2014-09-05,46.56,44.92,43.45,42.57,48.2,49.67,50.55
2014-09-06,46.44,44.8,43.33,42.45,48.08,49.55,50.43
2014-09-07,46.39,44.75,43.28,42.39,48.02,49.5,50.38
2014-09-08,46.29,44.66,43.18,42.3,47.93,49.4,50.29
2014-09-09,46.18,44.55,43.07,42.19,47.82,49.29,50.17
2014-09-10,46.01,44.37,42.9,42.02,47.65,49.12,50.0
2014-09-11,46.36,44.72,43.25,42.37,48.0,49.47,50.35
2014-09-12,46.97,45.34,43.86,42.98,48.61,50.08,50.97
2014-09-13,47.16,45.52,44.05,43.17,48.8,50.27,51.15
2014-09-14,47.33,45.69,44.22,43.34,48.96,50.44,51.32
2014-09-15,47.52,45.89,44.41,43.53,49.16,50.63,51.51
2014-09-16,47.76,46.12,44.65,43.77,49.4,50.87,51.75
2014-09-17,47.88,46.24,44.77,43.89,49.52,50.99,51.87
2014-09-18,47.98,46.34,44.87,43.99,49.61,51.09,51.97
2014-09-19,49.19,47.55,46.08,45.2,50.82,52.3,53.18
2014-09-20,48.74,47.11,45.63,44.75,50.38,51.85,52.73
2014-09-21,47.71,46.07,44.6,43.72,49.34,50.82,51.7
2014-09-22,47.21,45.57,44.1,43.22,48.84,50.32,51.2
2014-09-23,47.73,46.09,44.62,43.73,49.36,50.84,51.72
2014-09-24,47.47,45.83,44.36,43.47,49.1,50.58,51.46
2014-09-25,47.63,45.99,44.52,43.63,49.26,50.74,51.62
2014-09-26,48.4,46.77,45.29,44.41,50.04,51.51,52.39
2014-09-27,48.26,46.63,45.15,44.27,49.9,51.38,52.26
2014-09-28,48.11,46.47,45.0,44.12,49.75,51.22,52.1
