Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-06-26,1603.260009765625,14910.1396484375,2893.85009765625,12834.009765625,6165.5,7940.990234375
2013-06-27,1613.199951171875,15024.490234375,2906.840087890625,13213.5498046875,6243.39990234375,7990.75
2013-06-28,1606.280029296875,14909.599609375,2909.60009765625,13677.3203125,6215.5,7959.22021484375
2013-07-01,1614.9599609375,14974.9599609375,2927.35009765625,13852.5,6307.7998046875,7983.919921875
2013-07-02,1614.0799560546875,14932.41015625,2929.6298828125,14098.740234375,6303.89990234375,7910.77001953125
2013-07-03,1615.4100341796875,14988.3701171875,2941.409912109375,14055.5595703125,6229.89990234375,7829.31982421875
2013-07-04,,,,14018.9296875,6421.7001953125,7994.31005859375
2013-07-05,1631.8900146484375,15135.83984375,2963.219970703125,14309.9697265625,6375.5,7806.0
2013-07-08,1640.4599609375,15224.6904296875,2966.1298828125,14109.33984375,6450.10009765625,7968.5400390625
2013-07-09,1652.3199462890625,15300.33984375,2984.320068359375,14472.900390625,6513.10009765625,8057.75
2013-07-10,1652.6199951171875,15291.66015625,3000.659912109375,14416.599609375,6505.0,8066.47998046875
2013-07-11,1675.02001953125,15460.919921875,3059.4599609375,14472.580078125,6543.39990234375,8158.7998046875
2013-07-12,1680.18994140625,15464.2998046875,3079.070068359375,14506.25,6544.89990234375,8212.76953125
2013-07-15,1682.5,15484.259765625,3079.85009765625,,6586.10009765625,8234.8095703125
2013-07-16,1676.260009765625,15451.849609375,3077.469970703125,14599.1201171875,6556.39990234375,8201.0498046875
2013-07-17,1680.9100341796875,15470.51953125,3085.280029296875,14615.0400390625,6571.89990234375,8254.7197265625
2013-07-18,1689.3699951171875,15548.5400390625,3077.820068359375,14808.5,6634.39990234375,8337.08984375
2013-07-19,1692.0899658203125,15543.740234375,3044.929931640625,14589.91015625,6630.7001953125,8331.5703125
2013-07-22,1695.530029296875,15545.5498046875,3055.22998046875,14658.0400390625,6623.2001953125,8331.0595703125
2013-07-23,1692.3900146484375,15567.740234375,3031.39990234375,14778.509765625,6597.39990234375,8314.23046875
2013-07-24,1685.93994140625,15542.240234375,3041.159912109375,14731.2802734375,6620.39990234375,8379.1103515625
2013-07-25,1690.25,15555.6103515625,3061.669921875,14562.9296875,6588.0,8298.98046875
2013-07-26,1691.6500244140625,15558.830078125,3076.22998046875,14129.98046875,6554.7998046875,8244.91015625
2013-07-29,1685.3299560546875,15521.9697265625,3068.949951171875,13661.1298828125,6560.2998046875,8259.0302734375
2013-07-30,1685.9599609375,15520.58984375,3085.330078125,13869.8203125,6571.0,8271.01953125
2013-07-31,1685.72998046875,15499.5400390625,3090.18994140625,13668.3203125,6621.10009765625,8275.9697265625
2013-08-01,1706.8699951171875,15628.01953125,3126.300048828125,14005.76953125,6682.0,8410.73046875
2013-08-02,1709.6700439453125,15658.3603515625,3143.52001953125,14466.16015625,6647.89990234375,8406.9404296875
2013-08-05,1707.1400146484375,15612.1298828125,3143.18994140625,14258.0400390625,6619.60009765625,8398.3798828125
2013-08-06,1697.3699951171875,15518.740234375,3122.199951171875,14401.0595703125,6604.2001953125,8299.73046875
2013-08-07,1690.9100341796875,15470.669921875,3118.68994140625,13824.9404296875,6511.2001953125,8260.48046875
2013-08-08,1697.47998046875,15498.3203125,3130.1298828125,13605.5595703125,6529.7001953125,8318.3203125
2013-08-09,1691.4200439453125,15425.509765625,3118.570068359375,13615.1904296875,6583.39990234375,8338.3095703125
2013-08-12,1689.469970703125,15419.6796875,3125.929931640625,13519.4296875,6574.2998046875,8359.25
2013-08-13,1694.1600341796875,15451.009765625,3141.06005859375,13867.0,6611.89990234375,8415.759765625
2013-08-14,1685.3900146484375,15337.66015625,3129.449951171875,14050.16015625,6587.39990234375,8438.1201171875
2013-08-15,1661.3199462890625,15112.1904296875,3076.22998046875,13752.9404296875,6483.2998046875,8376.2900390625
2013-08-16,1655.8299560546875,15081.4697265625,3073.909912109375,13650.1103515625,6500.0,8391.9404296875
2013-08-19,1646.06005859375,15010.740234375,3069.760009765625,13758.1298828125,6465.7001953125,8366.2900390625
2013-08-20,1652.3499755859375,15002.990234375,3082.169921875,13396.3798828125,6453.5,8300.0302734375
2013-08-21,1642.800048828125,14897.5498046875,3071.469970703125,13424.330078125,6390.7998046875,8285.41015625
2013-08-22,1656.9599609375,14963.740234375,3101.820068359375,13365.169921875,6446.89990234375,8397.8896484375
2013-08-23,1663.5,15010.509765625,3124.27001953125,13660.5498046875,6492.10009765625,8416.990234375
2013-08-26,1656.780029296875,14946.4599609375,3122.669921875,13636.2802734375,,8435.150390625
2013-08-27,1630.47998046875,14776.1298828125,3059.580078125,13542.3701171875,6441.0,8242.5595703125
2013-08-28,1634.9599609375,14824.509765625,3072.169921875,13338.4599609375,6430.10009765625,8157.89990234375
2013-08-29,1638.1700439453125,14840.9501953125,3093.360107421875,13459.7099609375,6483.10009765625,8194.5498046875
2013-08-30,1632.969970703125,14810.3095703125,3073.81005859375,13388.8603515625,6412.89990234375,8103.14990234375
2013-09-02,,,,13572.919921875,6506.2001953125,8243.8701171875
2013-09-03,1639.77001953125,14833.9599609375,3091.760009765625,13978.4404296875,6468.39990234375,8180.7099609375
